Country,Total_Cases,Total_Deaths,Total_Recovered,Active_Cases,Total_Cases_per1M_population,Deaths_per1M_population,Total_Tests,Tests_per1M_population,Population
Egypt,326379,18375,275637.0,32367.0,3112,175,3693367.0,35218.0,104872082
El Salvador,113422,3596,94980.0,14846.0,17371,551,1357788.0,207953.0,6529311
Equatorial Guinea,13236,163,12565.0,508.0,9044,111,238486.0,162960.0,1463460
Eritrea,6798,45,6717.0,36.0,1883,12,23693.0,6561.0,3611001
Estonia,184509,1477,161349.0,21683.0,138968,1112,2097590.0,1579856.0,1327710
Eswatini,46390,1242,45075.0,73.0,39448,1056,367421.0,312439.0,1175976
Ethiopia,363240,6393,336914.0,19933.0,3060,54,3663817.0,30865.0,118704314
Fiji,52028,673,48955.0,2400.0,57490,744,436822.0,482677.0,904999
Finland,155547,1150,46000.0,108397.0,28016,207,7411266.0,1334868.0,5552061
France,7133766,117555,6921146.0,95065.0,108973,1796,151204954.0,2309749.0,65463804
French Guiana,44347,302,9995.0,34050.0,143588,978,425046.0,1376221.0,308850
French Polynesia,40178,635,33500.0,6043.0,141948,2243,26355.0,93112.0,283047
Gabon,34898,230,28567.0,6101.0,15208,100,1305320.0,568833.0,2294735
Gambia,9959,340,9603.0,16.0,3974,136,103948.0,41483.0,2505809
Georgia,698944,9831,639564.0,49549.0,175655,2471,9992057.0,2511151.0,3979075
Germany,4501021,95794,4237100.0,168127.0,53496,1139,73348901.0,871781.0,84136868
Ghana,130008,1174,126976.0,1858.0,4072,37,1842458.0,57711.0,31925467
Greece,724571,15707,671596.0,37268.0,69967,1517,25123079.0,2425959.0,10355939
Grenada,5824,197,5503.0,124.0,51444,1740,79955.0,706254.0,113210
Guadeloupe,54350,736,2250.0,51364.0,135802,1839,495286.0,1237553.0,400214
Guatemala,596417,14797,574566.0,7054.0,32500,806,2851620.0,155390.0,18351317
Guinea,30645,385,29501.0,759.0,2253,28,564994.0,41542.0,13600567
